index,Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
245,2003-04-04,United States,100,0,0
246,2003-04-04,Viet Nam,59,4,0
247,2003-04-05,Australia,1,0,0
248,2003-04-05,Belgium,1,0,0
249,2003-04-05,Brazil,1,0,0
250,2003-04-05,Canada,74,7,0
251,2003-04-05,China,1220,49,0
252,2003-04-05,"Hong Kong SAR, China",800,20,0
253,2003-04-05,"Taiwan, China",17,0,0
254,2003-04-05,France,3,0,0
255,2003-04-05,Germany,5,0,0
256,2003-04-05,Italy,3,0,0
257,2003-04-05,Malaysia,1,1,0
258,2003-04-05,Republic of Ireland,1,0,0
259,2003-04-05,Romania,1,0,0
260,2003-04-05,Singapore,101,6,0
261,2003-04-05,Spain,1,0,0
262,2003-04-05,Switzerland,1,0,0
263,2003-04-05,Thailand,7,2,0
264,2003-04-05,United Kingdom,4,0,0
265,2003-04-05,United States,115,0,0
266,2003-04-05,Viet Nam,59,4,0
267,2003-04-07,Australia,1,0,0
268,2003-04-07,Brazil,1,0,0
269,2003-04-07,Canada,90,9,0
270,2003-04-07,China,1268,53,0
271,2003-04-07,"Hong Kong SAR, China",883,23,0
272,2003-04-07,"Taiwan, China",21,0,0
273,2003-04-07,France,3,0,0
274,2003-04-07,Germany,5,0,0
275,2003-04-07,Italy,3,0,0
276,2003-04-07,Malaysia,1,1,0
277,2003-04-07,Republic of Ireland,1,0,0
278,2003-04-07,Romania,1,0,0
279,2003-04-07,Singapore,106,6,0
280,2003-04-07,Spain,1,0,0
281,2003-04-07,Switzerland,1,0,0
282,2003-04-07,Thailand,7,2,0
283,2003-04-07,United Kingdom,5,0,0
284,2003-04-07,United States,141,0,0
285,2003-04-07,Viet Nam,62,4,0
286,2003-04-08,Australia,1,0,0
287,2003-04-08,Brazil,1,0,0
288,2003-04-08,Canada,91,10,0
289,2003-04-08,China,1279,53,0
290,2003-04-08,"Hong Kong SAR, China",928,25,0
291,2003-04-08,"Taiwan, China",19,0,0
292,2003-04-08,France,4,0,0
293,2003-04-08,Germany,5,0,0
294,2003-04-08,Italy,3,0,0
295,2003-04-08,Malaysia,1,1,0
296,2003-04-08,Republic of Ireland,1,0,0
297,2003-04-08,Romania,1,0,0
298,2003-04-08,Singapore,113,8,0
299,2003-04-08,Spain,1,0,0
300,2003-04-08,Switzerland,1,0,0
301,2003-04-08,Thailand,7,2,0
302,2003-04-08,United Kingdom,5,0,0
303,2003-04-08,United States,148,0,0
304,2003-04-08,Viet Nam,62,4,0
305,2003-04-09,Brazil,1,0,0
306,2003-04-09,Canada,94,10,0
307,2003-04-09,China,1280,53,0
308,2003-04-09,"Hong Kong SAR, China",970,27,0
309,2003-04-09,"Taiwan, China",19,0,0
310,2003-04-09,France,4,0,0
311,2003-04-09,Germany,5,0,0
312,2003-04-09,Italy,3,0,0
313,2003-04-09,Malaysia,1,1,0
314,2003-04-09,Republic of Ireland,1,0,0
315,2003-04-09,Romania,1,0,0
316,2003-04-09,Singapore,118,9,0
317,2003-04-09,Spain,1,0,0
318,2003-04-09,Switzerland,1,0,0
319,2003-04-09,Thailand,7,2,0
320,2003-04-09,United Kingdom,5,0,0
321,2003-04-09,United States,149,0,0
322,2003-04-09,Viet Nam,62,4,0
323,2003-04-10,Brazil,2,0,0
324,2003-04-10,Canada,97,10,22
325,2003-04-10,China,1290,55,1025
326,2003-04-10,"Hong Kong SAR, China",998,30,154
327,2003-04-10,"Taiwan, China",19,0,5
328,2003-04-10,France,4,0,0
329,2003-04-10,Germany,6,0,2
330,2003-04-10,Italy,3,0,1
331,2003-04-10,Kuwait,1,0,0
332,2003-04-10,Malaysia,3,1,0
333,2003-04-10,Republic of Ireland,1,0,1
334,2003-04-10,Romania,1,0,0
335,2003-04-10,Singapore,126,9,75
336,2003-04-10,Spain,1,0,0
337,2003-04-10,Switzerland,1,0,1
338,2003-04-10,Thailand,7,2,5
339,2003-04-10,United Kingdom,5,0,3
340,2003-04-10,United States,154,0,0
341,2003-04-10,Viet Nam,62,4,43
342,2003-04-11,Brazil,2,0,0
343,2003-04-11,Canada,98,10,25
344,2003-04-11,China,1309,58,1037
345,2003-04-11,"Hong Kong SAR, China",1059,32,169
346,2003-04-11,"Taiwan, China",21,0,6
347,2003-04-11,France,5,0,0
348,2003-04-11,Germany,6,0,4
349,2003-04-11,Italy,3,0,2
350,2003-04-11,Japan,4,0,0
351,2003-04-11,Kuwait,1,0,0
352,2003-04-11,Malaysia,4,1,0
353,2003-04-11,Republic of Ireland,1,0,1
354,2003-04-11,Romania,1,0,0
355,2003-04-11,Singapore,133,9,77
356,2003-04-11,South Africa,1,0,0
357,2003-04-11,Spain,1,0,0
358,2003-04-11,Switzerland,1,0,1
359,2003-04-11,Thailand,7,2,5
360,2003-04-11,United Kingdom,5,0,3
361,2003-04-11,United States,166,0,0
362,2003-04-11,Viet Nam,62,4,43
363,2003-04-12,Brazil,2,0,0
364,2003-04-12,Canada,101,10,26
365,2003-04-12,China,1309,58,1037
366,2003-04-12,"Hong Kong SAR, China",1108,35,215
367,2003-04-12,"Taiwan, China",23,0,7
368,2003-04-12,France,5,0,1
369,2003-04-12,Germany,6,0,4
370,2003-04-12,Italy,3,0,2
371,2003-04-12,Japan,4,0,0
372,2003-04-12,Kuwait,1,0,0
373,2003-04-12,Malaysia,4,1,0
374,2003-04-12,Republic of Ireland,1,0,1
375,2003-04-12,Romania,1,0,0
376,2003-04-12,Singapore,147,9,77
377,2003-04-12,South Africa,1,0,0
378,2003-04-12,Spain,1,0,0
379,2003-04-12,Switzerland,1,0,1
380,2003-04-12,Thailand,8,2,5
381,2003-04-12,United Kingdom,6,0,3
382,2003-04-12,United States,166,0,0
383,2003-04-12,China,62,4,46
384,2003-04-14,Brazil,2,0,0
385,2003-04-14,Canada,100,13,27
386,2003-04-14,China,1418,64,1088
387,2003-04-14,"Hong Kong SAR, China",1190,47,229
388,2003-04-14,"Taiwan, China",23,0,7
389,2003-04-14,France,5,0,1
390,2003-04-14,Germany,6,0,4
391,2003-04-14,Indonesia,1,0,0
392,2003-04-14,Italy,3,0,2
393,2003-04-14,Kuwait,1,0,0
394,2003-04-14,Malaysia,4,1,0
395,2003-04-14,Philippines,1,0,1
396,2003-04-14,Republic of Ireland,1,0,1
397,2003-04-14,Romania,1,0,0
398,2003-04-14,Singapore,158,12,84
399,2003-04-14,South Africa,1,0,0
400,2003-04-14,Spain,1,0,0
401,2003-04-14,Sweden,1,0,0
402,2003-04-14,Switzerland,1,0,1
403,2003-04-14,Thailand,8,2,5
404,2003-04-14,United Kingdom,6,0,3
405,2003-04-14,United States,174,0,0
406,2003-04-14,Viet Nam,63,5,46
407,2003-04-15,Brazil,2,0,0
408,2003-04-15,Canada,100,13,27
409,2003-04-15,China,1418,64,1088
410,2003-04-15,"Hong Kong SAR, China",1232,56,243
411,2003-04-15,"Taiwan, China",23,0,7
412,2003-04-15,France,5,0,1
413,2003-04-15,Germany,6,0,4
414,2003-04-15,Indonesia,1,0,0
415,2003-04-15,Italy,3,0,2
416,2003-04-15,Japan,1,0,0
417,2003-04-15,Kuwait,1,0,0
418,2003-04-15,Malaysia,4,1,0
419,2003-04-15,Philippines,1,0,1
420,2003-04-15,Republic of Ireland,1,0,1
421,2003-04-15,Romania,1,0,1
422,2003-04-15,Singapore,162,13,85
423,2003-04-15,South Africa,1,0,0
424,2003-04-15,Spain,1,0,0
425,2003-04-15,Sweden,1,0,0
426,2003-04-15,Switzerland,1,0,1
427,2003-04-15,Thailand,8,2,5
428,2003-04-15,United Kingdom,6,0,3
429,2003-04-15,United States,193,0,0
430,2003-04-15,Viet Nam,63,5,46
431,2003-04-16,Brazil,2,0,0
432,2003-04-16,Canada,103,13,37
433,2003-04-16,China,1432,64,1094
434,2003-04-16,"Hong Kong SAR, China",1268,61,257
435,2003-04-16,"Taiwan, China",27,0,10
436,2003-04-16,France,5,0,1
437,2003-04-16,Germany,6,0,4
438,2003-04-16,Indonesia,1,0,0
439,2003-04-16,Italy,3,0,2
440,2003-04-16,Japan,1,0,0
441,2003-04-16,Kuwait,1,0,0
442,2003-04-16,Malaysia,5,1,0
443,2003-04-16,Philippines,1,0,1
444,2003-04-16,Republic of Ireland,1,0,1
445,2003-04-16,Romania,1,0,1
446,2003-04-16,Singapore,162,13,85
447,2003-04-16,South Africa,1,0,0
448,2003-04-16,Spain,1,0,0
449,2003-04-16,Sweden,1,0,0
450,2003-04-16,Switzerland,1,0,1
451,2003-04-16,Thailand,8,2,5
452,2003-04-16,United Kingdom,6,0,3
453,2003-04-16,United States,193,0,0
454,2003-04-16,Viet Nam,63,5,46
455,2003-04-17,Australia,3,0,3
